SUC BAPRO,SUC CBU,DIRECCIÓN
2000,0999,La Plata (Av. 7 n726)
5015,0068,La Plata (Calle 12 n1275)
5017,0075,Ensenada (La Merced n186)
5020,0079,Los Hornos (Av. 137 n1392)
5030,0000,City Bell (Plaza Belgrano n183)
5033,0032,Berisso (Montevideo y 7)
5053,0000,La Plata (Av. 1 n1389)
5059,0135,La Plata (Av. 44 n1631)
5203,0186,Los Hornos (Calle 137 n1651 esq. Av. 66)
5207,0190,La Plata (Calle 17 esq. 70)
5209,0000,Gonnet (Cno. Centenario n2888)
5210,0000,Lisandro Olmos (Calle 44 y 197)
5212,0000,Cno. General Belgrano y 411







